popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
99,6,4,6,9,1,0,0,0,2,0,3,1,4
100,7,7,0,10,2,0,1,0,0,5,5,1,4
94,4,6,4,9,1,3,0,0,1,4,8,1,4
98,5,3,3,9,2,0,5,0,2,0,4,1,4
96,7,5,5,9,1,0,1,0,4,6,5,1,2
92,9,5,0,8,1,3,0,0,0,7,4,1,4
93,7,6,3,10,1,1,1,0,1,4,7,1,4
96,5,4,0,9,2,0,7,0,1,4,5,1,4
96,6,6,9,9,2,0,1,0,1,4,4,1,4
99,7,3,9,9,2,0,8,0,0,5,4,1,4
93,5,9,0,10,2,4,0,0,0,4,8,1,4
90,8,7,6,9,2,4,0,0,7,7,8,1,4
90,8,6,0,9,1,2,0,0,0,5,5,1,4
92,8,5,9,10,1,0,1,0,1,1,4,1,4
95,5,6,2,9,1,0,0,0,1,2,4,1,4
93,5,8,0,10,1,0,0,0,1,2,6,1,4
94,5,6,4,10,2,0,4,0,1,1,6,1,4
93,7,6,6,9,1,3,0,0,0,2,8,1,4
96,7,4,6,8,2,4,3,1,1,5,6,1,4
88,7,6,0,10,1,3,1,0,1,7,7,1,4
88,8,6,1,9,1,4,0,0,1,8,3,1,4
88,7,7,9,10,2,3,1,0,1,8,5,1,4
90,5,6,5,10,2,2,0,0,0,6,3,1,4
96,4,6,0,9,1,0,1,0,0,3,5,1,5
92,6,6,0,10,2,0,0,0,1,2,6,1,4
89,7,6,9,9,1,0,4,0,1,7,6,1,4
91,7,5,4,9,1,0,3,0,1,4,7,1,4
89,7,4,0,9,1,1,1,0,1,1,4,1,4
98,7,5,8,9,1,0,0,0,0,7,5,1,4
96,8,3,1,9,2,0,1,0,1,5,5,1,4
87,9,5,5,9,2,1,0,0,1,9,5,1,4
92,6,5,9,9,1,0,2,0,1,1,4,1,4
87,7,6,0,9,2,5,1,0,0,2,7,1,4
86,8,5,6,9,2,0,3,0,1,2,4,1,4
92,6,4,6,9,1,0,5,0,1,5,5,1,4
94,6,6,4,9,1,2,1,0,0,5,4,1,4
88,4,8,8,9,1,1,0,0,4,3,3,1,4
85,9,5,1,9,2,4,0,0,0,6,6,1,4
94,7,4,9,9,1,0,0,0,3,6,4,1,4
88,8,2,9,9,1,0,8,0,1,4,4,1,4
87,8,3,7,8,2,2,1,0,2,4,5,1,4
92,5,5,9,9,1,2,1,0,3,5,7,1,5
90,4,6,3,10,1,0,3,0,1,1,5,1,4
87,6,6,5,9,1,1,0,0,4,4,5,1,5
85,8,7,9,9,1,3,0,0,1,9,7,1,4
89,8,5,9,9,1,2,1,0,1,3,4,1,4
87,4,6,8,9,1,2,6,0,3,1,4,1,3
87,7,7,8,9,1,1,1,0,1,5,6,1,4
87,9,4,8,9,1,0,3,0,1,4,5,1,4
85,9,4,9,9,2,3,0,0,1,4,4,1,4
86,7,5,4,9,1,0,2,0,1,5,7,1,4
86,6,5,9,8,1,2,1,0,1,1,6,1,4
89,7,5,0,10,1,0,4,0,0,5,8,1,3
93,7,4,9,9,1,0,3,0,1,4,4,1,4
91,4,7,9,10,1,4,1,0,1,7,8,1,4
86,7,5,9,9,2,0,2,0,0,2,5,1,4
86,6,4,0,10,1,0,6,0,1,1,6,1,4
90,6,8,3,10,2,1,0,0,3,8,7,1,4
89,6,7,7,9,2,0,1,0,1,7,3,1,4
90,3,5,6,9,2,0,4,0,1,4,3,1,4
87,8,5,3,9,1,1,0,0,1,1,4,1,4
87,6,6,0,10,2,0,1,0,2,4,6,1,4
85,8,8,0,9,2,1,0,0,2,5,4,1,4
87,4,7,6,9,2,1,0,0,1,2,5,1,5
85,9,5,1,9,2,4,0,0,1,5,5,1,4
90,8,5,1,9,2,0,3,0,1,5,4,1,4
90,3,1,3,7,2,1,9,0,0,2,3,1,4
86,5,4,8,9,2,0,2,0,8,4,3,1,4
95,8,5,5,9,1,0,6,0,1,5,4,1,4
84,7,6,5,9,1,0,0,0,1,2,6,1,4
85,9,5,1,9,1,0,1,0,0,3,4,1,4
92,2,5,2,9,2,0,1,0,0,3,3,1,2
85,6,6,1,9,2,0,3,0,1,5,7,1,5
88,7,6,1,9,2,0,0,0,0,7,3,1,4
93,8,6,5,9,2,1,0,0,1,6,6,1,4
94,6,6,1,9,2,3,6,0,2,2,8,1,4
88,7,5,1,9,2,0,5,0,0,9,4,1,4
82,5,5,5,8,1,2,3,0,0,3,5,1,2
85,6,6,0,10,2,0,3,0,1,2,4,1,4
88,6,6,3,10,2,0,0,0,5,4,4,1,4
83,8,7,6,9,1,1,1,0,0,5,5,1,4
83,8,6,0,9,1,2,0,0,2,6,4,1,4
93,8,6,8,9,1,0,1,0,0,6,4,1,4
85,5,2,1,8,2,1,5,0,1,2,3,1,4
84,9,8,1,9,2,2,0,0,0,5,4,1,4
90,7,3,0,8,1,3,5,0,0,3,6,1,4
84,6,6,1,9,1,3,0,0,0,4,8,1,4
95,9,7,6,9,1,0,2,0,0,8,5,1,4
82,9,6,0,9,2,4,0,0,0,5,5,1,4
85,5,7,6,9,2,0,4,0,9,7,3,1,5
93,7,6,6,9,2,3,1,0,1,4,8,1,4
84,6,6,5,9,1,2,3,0,1,3,4,1,4
85,6,5,0,9,2,1,1,0,3,1,9,1,4
88,6,8,4,10,1,0,2,0,7,4,4,1,4
89,6,8,3,9,1,0,0,0,3,3,4,1,4
96,8,8,6,10,2,0,0,0,0,6,4,1,4
85,7,4,9,9,1,0,6,0,2,4,5,1,4
82,8,6,1,9,2,3,2,0,1,6,5,1,4
84,5,3,0,9,1,5,5,0,2,6,3,1,4
85,6,7,5,10,2,0,1,0,1,3,7,1,4
85,9,3,0,9,2,1,0,0,0,3,6,1,4
85,7,5,9,9,1,3,6,0,1,8,9,1,4
81,8,6,5,9,1,4,0,0,1,6,7,1,4
87,5,5,3,9,1,0,5,0,1,3,5,1,4
88,7,7,0,9,2,0,0,0,2,5,4,1,4
93,8,6,5,9,2,0,0,0,0,8,4,1,4
88,7,3,3,9,2,0,9,0,1,3,5,1,4
88,7,4,8,9,2,0,0,0,0,2,4,1,4
81,8,5,7,10,2,3,0,0,0,5,7,1,4
88,7,6,0,9,2,0,2,0,1,4,4,1,4
82,7,7,5,9,2,4,1,0,1,6,6,1,4
82,8,7,4,9,2,2,0,0,3,8,5,1,4
88,7,8,8,10,1,1,2,0,0,5,5,1,4
91,8,5,8,9,2,0,4,0,0,6,4,1,4
82,8,7,0,9,2,0,0,0,3,3,4,1,4
85,8,6,9,9,1,0,0,0,1,5,5,1,4
87,9,3,7,7,2,3,7,1,1,1,5,1,4
83,6,7,4,10,1,1,1,0,1,4,6,1,4
89,7,5,7,9,2,0,4,0,2,3,4,1,4
82,6,4,5,9,2,0,6,0,1,4,4,1,4
92,7,6,7,9,2,0,0,0,1,4,4,1,4
84,8,5,7,9,2,1,7,0,0,2,6,1,4
82,9,6,1,9,2,2,0,0,0,4,3,1,4
86,4,1,0,7,2,0,9,0,1,1,6,1,4
81,7,8,5,10,1,5,0,0,1,6,8,1,4
83,7,5,4,10,2,0,7,0,1,3,5,1,4
88,5,6,6,9,2,4,0,0,1,3,4,1,4
81,5,8,0,9,2,0,0,0,0,6,3,1,4
89,8,7,9,9,1,0,0,0,0,6,5,1,4
83,6,7,0,10,2,0,1,0,3,5,6,1,4
